citekey,entry_type,title,author,year,journal,doi,url,pages,volume,number,scopus_type,note,open_access_flag,gold_oa,green_oa,record_id,citekey_collision
Takigawa2024,ARTICLE,Japanese longitudinal biomarker study in progressive supranuclear palsy and corticobasal degeneration: Clinical features of the first registered patients and short-term follow-up analysis,"Takigawa, Hiroshi and Hanajima, Ritsuko and Aiba, Ikuko and Shimohata, Takayoshi and Tokuda, Takahiko and Morita, Mitsuya and Onodera, Osamu and Murayama, Shigeo and Hasegawa, Kazuko and Tokumaru, Aya M. and Kowa, Hisanori and Kanazawa, Masato and Naoi, Tameto and Nakashima, Kenji and Ikeuchi, Takeshi",2024,Clinical Parkinsonism and Related Disorders,10.1016/j.prdoa.2024.100279,https://www.scopus.com/pages/publications/85207536231?origin=resultslist,,11,,Article,Cited by: 4; All Open Access; Gold Open Access; Green Open Access,True,True,True,Takigawa2024,False
Byun2026,ARTICLE,Pharmacological treatments of REM sleep behaviour disorder in synucleinopathies: a systematic review of effectiveness and safety,"Byun, Jess J. and Badrakalimuthu, Vellingiri Raja",2026,Sleep Medicine,10.1016/j.sleep.2026.109154,https://www.scopus.com/pages/publications/105047755197?origin=resultslist,,148,,Review,Cited by: 0; All Open Access; Hybrid Gold Open Access,True,True,False,Byun2026,False
Leyde20251192,ARTICLE,Methamphetamine Use Disorder,"Leyde, Sarah and Tilhou, Alyssa S. and Tsui, Judith I.",2025,JAMA,10.1001/jama.2025.12007,https://www.scopus.com/pages/publications/105018031247?origin=resultslist,1192 - 1193,334,13,Review,Cited by: 7,False,False,False,Leyde20251192,False
De Giorgi2024,ARTICLE,12-month neurological and psychiatric outcomes of semaglutide use for type 2 diabetes: a propensity-score matched cohort study,"De Giorgi, Riccardo and Koychev, Ivan and Adler, Amanda I. and Cowen, Philip J. and Harmer, Catherine J. and Harrison, Paul J. and Taquet, Maxime",2024,eClinicalMedicine,10.1016/j.eclinm.2024.102726,https://www.scopus.com/pages/publications/85198519279?origin=resultslist,,74,,Article,Cited by: 68; All Open Access; Gold Open Access; Green Open Access,True,True,True,De Giorgi2024,False
Brenlla202597,ARTICLE,Biomarkers of neurodegenerative parkinsonisms: From current clinical to future biological definitions — literature review and our experience,"Brenlla, Carla and Lazaro-Hernandez, Carlos and Fernandez, Manel and Perez-Montesino, Jesica and de Mena, Lorena and Bargallo, Nuria and Sanchez, Veronica and Perissinotti, Andrés and Niñerola-Baizan, Aida and Perez-Soriano, Alexandra and Painous, Celia and Cámara, Ana and Compta, Yaroslau",2025,Neurologia i Neurochirurgia Polska,10.5603/pjnns.104070,https://www.scopus.com/pages/publications/105004367675?origin=resultslist,97 - 110,59,2,Review,Cited by: 6; All Open Access; Bronze Open Access,True,False,False,Brenlla202597,False
del Rey2024,ARTICLE,Calbindin and Girk2/Aldh1a1 define resilient vs vulnerable dopaminergic neurons in a primate Parkinson’s disease model,"del Rey, Natalia López-González and Hernández-Pinedo, Nagore and Carrillo, Megan and del Cerro, María and Esteban-García, Noelia and Trigo-Damas, Inés and Monje, Mariana H. G. and Lanciego, José L. and Cavada, Carmen and Obeso, José A. and Blesa, Javier",2024,npj Parkinson's Disease,10.1038/s41531-024-00777-0,https://www.scopus.com/pages/publications/85202952470?origin=resultslist,,10,1,Article,Cited by: 26; All Open Access; Gold Open Access; Green Open Access,True,True,True,del Rey2024,False
Shafiee2024,ARTICLE,Effect of cannabis use on blood levels of brain-derived neurotrophic factor (BDNF) and nerve growth factor (NGF): A systematic review and meta-analysis,"Shafiee, Arman and Rafiei, Mohammad Ali and Jafarabady, Kyana and Eskandari, Alireza and Abhari, Faeze Soltani and Sattari, Mohammad Amin and Amini, Mohammad Javad and Bakhtiyari, Mahmood",2024,Brain and Behavior,10.1002/brb3.3340,https://www.scopus.com/pages/publications/85181481055?origin=resultslist,,14,1,Review,Cited by: 5; All Open Access; Gold Open Access; Green Open Access,True,True,True,Shafiee2024,False
Roghani2024,ARTICLE,Treating Alzheimer's disease using nanoparticle-mediated drug delivery strategies/systems,"Roghani, Aryan Kia and Garcia, Ricardo Isaiah and Roghani, Ali and Reddy, Aananya and Khemka, Sachi and Reddy, Ruhananhad P. and Pattoor, Vasanthkumar and Jacob, Michael and Reddy, P. Hemachandra and Sehar, Ujala",2024,Ageing Research Reviews,10.1016/j.arr.2024.102291,https://www.scopus.com/pages/publications/85190143043?origin=resultslist,,97,,Review,Cited by: 57,False,False,False,Roghani2024,False
Marano20242693,ARTICLE,Endocannabinoid System and Neuromodulation in Neurodegenerative Diseases: A Focus on Neuropsychiatric Symptoms,"Marano, Giuseppe and Lisci, Francesco Maria and Traversi, Gianandrea and Brisi, Caterina and De Berardis, Domenico and Gaetani, Eleonora and Aceto, Paola and Lai, Carlo and Martinotti, Giovanni and Mazza, Osvaldo and Mazza, Marianna",2024,Journal of Biological Regulators and Homeostatic Agents,10.23812/j.biol.regul.homeost.agents.20243804.212,https://www.scopus.com/pages/publications/85216434037?origin=resultslist,2693 - 2712,38,4,Review,Cited by: 1; All Open Access; Hybrid Gold Open Access,True,True,False,Marano20242693,False
Sura20267933,ARTICLE,Cannabidiol from Cannabis sativa: A Potential Therapeutic Agent for Neurodegenerative Diseases,"Sura, Sreenivasulu and Vishnumukkala, Thirupathirao and Okwuofu, Emmanuel O and Gopalakrishna, Prarthana K and Jagadeesan, Saravanan and Dandala, Krishna CR and Mohamad, Aris MM and Masrudin, S.S. and Nurul, Huda MN",2026,Tropical Journal of Natural Product Research,10.26538/tjnpr/v10i3.39,https://www.scopus.com/pages/publications/105035608768?origin=resultslist,7933 - 7944,10,3,Review,Cited by: 1; All Open Access; Gold Open Access,True,True,False,Sura20267933,False
