citekey,entry_type,title,author,year,journal,doi,url,pages,volume,number,scopus_type,note,open_access_flag,gold_oa,green_oa
Wang2025,ARTICLE,Diabetic kidney disease macrophage cholesterol efflux: a revolution from metabolism to immune,"Wang, Jinjin and Cai, Yi and Feng, Yuxi and Zhu, Qin",2025,Frontiers in Endocrinology,10.3389/fendo.2025.1714167,https://www.scopus.com/pages/publications/105022231623?origin=resultslist,,16,,Review,Cited by: 6; All Open Access; Gold Open Access; Green Open Access,True,True,True
Christensen2024,ARTICLE,Dietary intake by patients taking GLP-1 and dual GIP/GLP-1 receptor agonists: A narrative review and discussion of research needs,"Christensen, Sandra and Robinson, Katie and Thomas, Sara and Williams, Dominique R.",2024,Obesity Pillars,10.1016/j.obpill.2024.100121,https://www.scopus.com/pages/publications/85199703922?origin=resultslist,,11,,Review,Cited by: 112; All Open Access; Gold Open Access; Green Open Access,True,True,True
Ahmad2025450,ARTICLE,Glucagon-Like Peptide 1 Receptor Agonists (GLP-1RAs) Improve Periodontal and Peri-Implant Health in Type 2 Diabetes Mellitus,"Ahmad, Paras and Estrin, Nathan and Farshidfar, Nima and Zhang, Yufeng and Miron, Richard J.",2025,Journal of Periodontal Research,10.1111/jre.13410,https://www.scopus.com/pages/publications/105004454408?origin=resultslist,450 - 465,60,5,Review,Cited by: 17; All Open Access; Hybrid Gold Open Access,True,True,False
Passos202567,ARTICLE,Influence of glucagon-like peptide-1 receptor agonists on hepatic events in type 2 diabetes: a systematic review and meta-analysis,"Passos, Pedro Robson Costa and Filho, Valbert Oliveira Costa and Noronha, Mariana Macambira and Hyppolito, Elodie Bomfim and Saldanha, Erick Figueiredo and Motta, Rodrigo Vieira",2025,Journal of Gastroenterology and Hepatology (Australia),10.1111/jgh.16752,https://www.scopus.com/pages/publications/85204782984?origin=resultslist,67 - 77,40,1,Review,Cited by: 18; All Open Access; Bronze Open Access,True,False,False
Li20261,ARTICLE,Potential Antiarrhythmic Mechanisms of Glucagon-Like Peptide-1 Receptor Agonists (GLP-1RAs),"Li, Jianhong and Fu, Kun and Zhao, Jiaqian and Zou, Ying and Li, Li and Huang, Qiuyuan and Long, Limei and Ou, Xianhong and Lei, Ming and Zhang, Chunxiang and Tan, Xiaoqiu and Chen, Tangting",2026,"Drug Design, Development and Therapy",10.2147/DDDT.S579419,https://www.scopus.com/pages/publications/105029584547?origin=resultslist,1 - 16,20,,Review,Cited by: 1; All Open Access; Gold Open Access; Green Open Access,True,True,True
Lisco202472,ARTICLE,Is Tirzepatide the New Game Changer in Type 2 Diabetes?,"Lisco, Giuseppe and Disoteo, Olga Eugenia and De Geronimo, Vincenzo and De Tullio, Anna and Giagulli, Vito Angelo and Guastamacchia, Edoardo and De Pergola, Giovanni and Jirillo, Emilio and Triggiani, Vincenzo",2024,Endocrines,10.3390/endocrines5010005,https://www.scopus.com/pages/publications/85194422646?origin=resultslist,72 - 86,5,1,Review,Cited by: 8; All Open Access; Gold Open Access; Green Open Access,True,True,True
Panou20251077,ARTICLE,The Therapeutic Potential of Dipeptidyl Peptidase 4 Inhibitors and Glucagon-Like Peptide-1 Receptor Agonists in Diabetic Peripheral Neuropathy,"Panou, Theodoros and Gouveri, Evanthia and Popovic, Djordje S. and Papazoglou, Dimitrios and Papanas, Nikolaos",2025,Diabetes Therapy,10.1007/s13300-025-01712-z,https://www.scopus.com/pages/publications/105001502419?origin=resultslist,1077 - 1105,16,6,Review,Cited by: 11; All Open Access; Gold Open Access; Green Open Access,True,True,True
Mariam2024,ARTICLE,Glucagon-like peptide agonists: A prospective review,"Mariam, Zamara and Niazi, Sarfaraz K.",2024,"Endocrinology, Diabetes and Metabolism",10.1002/edm2.462,https://www.scopus.com/pages/publications/85179954060?origin=resultslist,,7,1,Review,Cited by: 101; All Open Access; Gold Open Access; Green Open Access,True,True,True
Gong2025,ARTICLE,GLP-1 receptor agonists: exploration of transformation from metabolic regulation to multi-organ therapy,"Gong, Bing and Li, Couwen and Shi, Zhuang’e and Wang, FuPing and Dai, Ruanxian and Chen, Guobing and Su, Heng",2025,Frontiers in Pharmacology,10.3389/fphar.2025.1675552,https://www.scopus.com/pages/publications/105016904373?origin=resultslist,,16,,Review,Cited by: 20; All Open Access; Gold Open Access; Green Open Access,True,True,True
Athauda2026,ARTICLE,The promise of GLP-1 receptor agonists for neurodegenerative diseases,"Athauda, Dilan and Greig, Nigel H. and Meissner, Wassilios G. and Foltynie, Thomas and Gandhi, Sonia",2026,The Journal of clinical investigation,10.1172/JCI194745,https://www.scopus.com/pages/publications/105030414691?origin=resultslist,,136,4,Review,Cited by: 17; All Open Access; Gold Open Access; Green Open Access,True,True,True
Miao2025,ARTICLE,"Managing cardiovascular events, hyperglycemia, and obesity in type 2 diabetes through microRNA regulation linked to glucagon-like peptide-1 receptor agonists","Miao, Xiaolei and Davoudi, Maryam and Alitotonchi, Zahra and Ahmadi, Ensieh Sadat and Amraee, Fatemeh and Alemi, Ashraf and Afrisham, Reza",2025,Diabetology and Metabolic Syndrome,10.1186/s13098-025-01581-3,https://www.scopus.com/pages/publications/85217557600?origin=resultslist,,17,1,Review,Cited by: 18; All Open Access; Gold Open Access; Green Open Access,True,True,True
Antonič2025,ARTICLE,"The male hormone reset: how GLP-1RAs, lifestyle and testosterone transform obesity-linked problems","Antonič, Kristina Groti and Zitzmann, Michael",2025,Aging Male,10.1080/13685538.2025.2601423,https://www.scopus.com/pages/publications/105024984517?origin=resultslist,,28,1,Review,Cited by: 2; All Open Access; Gold Open Access; Green Open Access,True,True,True
Marchionni202615,ARTICLE,"Targeting the Metabolic-Inflammatory Axis in Psoriasis and Psoriatic Arthritis: Evidence From Diet, Glucagon-like Peptide-1 Receptor Agonists, and Patient Perspectives","Marchionni, Giulia and Guma, Monica and Fernandez, Anthony P. and Grieb, Suzanne M. and Eder, Lihi and Lindsay, Christine A. and Soriano, Enrique R.",2026,The Journal of rheumatology,10.3899/jrheum.2026-0589,https://www.scopus.com/pages/publications/105049004927?origin=resultslist,15 - 18,53,,Review,Cited by: 0; All Open Access; Bronze Open Access,True,False,False
Cardoso2026,ARTICLE,GLP-1RA precision medicine in people with type 2 diabetes: current insights and future prospects,"Cardoso, Pedro and Dennis, John M. and Pearson, Ewan R.",2026,The Journal of clinical investigation,10.1172/JCI194742,https://www.scopus.com/pages/publications/105027705674?origin=resultslist,,136,2,Review,Cited by: 9; All Open Access; Gold Open Access; Green Open Access,True,True,True
Volkow2026831,ARTICLE,Glucagon-Like Peptide-1 Receptor Agonists in Psychiatry: A Pharmacoepidemiological Scoping Review,"Volkow, Nora D. and Xu, Rong",2026,Biological Psychiatry,10.1016/j.biopsych.2026.03.1002,https://www.scopus.com/pages/publications/105038175688?origin=resultslist,831 - 839,100,8,Review,Cited by: 3; All Open Access; Green Open Access,True,False,True
Roberts2025102,ARTICLE,Advances in incretin therapies for targeting cardiovascular disease in diabetes,"Roberts, Timothy D. and Hutchinson, Dana S. and Wootten, Denise and De Blasio, Miles J. and Ritchie, Rebecca H.",2025,Journal of Molecular and Cellular Cardiology,10.1016/j.yjmcc.2025.03.007,https://www.scopus.com/pages/publications/105000034118?origin=resultslist,102 - 115,202,,Review,Cited by: 4; All Open Access; Hybrid Gold Open Access,True,True,False
Wang2025,ARTICLE,GLP-1 receptor agonists synergistic effects of metabolic reprogramming and cardioprotection,"Wang, Xuan and Qi, Mengmeng and Yang, Lili and Yang, Libo and Wang, Xiaoyue and Zhang, Fang and Cui, Yukun and Wang, Dongxin and Wang, Yangang and Lv, Wenshan",2025,Frontiers in Endocrinology,10.3389/fendo.2025.1614726,https://www.scopus.com/pages/publications/105019975704?origin=resultslist,,16,,Review,Cited by: 10; All Open Access; Gold Open Access; Green Open Access,True,True,True
Sinha20252046,ARTICLE,"Efficacy and Safety of GLP-1 Receptor Agonists, Dual Agonists, and Retatrutide for Weight Loss in Adults With Overweight or Obesity: A Bayesian NMA","Sinha, Binayak and Ghosal, Samit",2025,Obesity,10.1002/oby.24360,https://www.scopus.com/pages/publications/105010901803?origin=resultslist,2046 - 2054,33,11,Review,Cited by: 16; All Open Access; Bronze Open Access,True,False,False
Teixeira2025,ARTICLE,Exploring the Role of GLP-1 Receptor Agonists in Alzheimer’s Disease: A Review of Preclinical and Clinical Evidence,"Teixeira, Lívia C. R. and Luizon, Marcelo R. and Gomes, Karina B.",2025,Receptors (Switzerland),10.3390/receptors4010002,https://www.scopus.com/pages/publications/105033064608?origin=resultslist,,4,1,Review,Cited by: 16; All Open Access; Gold Open Access; Green Open Access,True,True,True
Khalifa2026,ARTICLE,GLP-1 RAs for Treating Metabolic Dysfunction-Associated Steatosis Liver Disease: From GLP-1 Discovery to FDA Approval: A Comprehensive Narrative Review,"Khalifa, Olfa and Arredouani, Abdelilah",2026,Pharmaceuticals,10.3390/ph19030408,https://www.scopus.com/pages/publications/105034257120?origin=resultslist,,19,3,Review,Cited by: 2; All Open Access; Gold Open Access; Green Open Access,True,True,True
Ganamurali2026,ARTICLE,Bidirectional interplay between the gut microbiota and GLP-1 receptor agonists: towards Microbiome-Mediated therapeutics in type 2 diabetes mellitus,"Ganamurali, Nila and Sabarathinam, Sarvesh",2026,Journal of Diabetes and Metabolic Disorders,10.1007/s40200-025-01834-y,https://www.scopus.com/pages/publications/105028800738?origin=resultslist,,25,1,Review,Cited by: 9; All Open Access; Green Open Access,True,False,True
Sandha2026,ARTICLE,Perioperative Nutrition and Surgical Outcomes in Patients Receiving Glucagon-like Peptide-1 Receptor Agonists: A Scoping Review,"Sandha, Tegbir Singh and Ron, Ofir and Rozen, Warren M. and Seth, Ishith and Cuomo, Roberto",2026,Medicina (Lithuania),10.3390/medicina62081434,https://www.scopus.com/pages/publications/105048281936?origin=resultslist,,62,8,Review,Cited by: 0; All Open Access; Gold Open Access; Green Open Access,True,True,True
Mega2026,ARTICLE,New Treatment Options for MASLD Patients with Type 2 Diabetes,"Mega, Andrea and Turri, Chiara and Marzi, Luca and Dauriz, Marco and Sacco, Rodolfo and Floreani, Annarosa and Stasi, Cristina",2026,Life,10.3390/life16020254,https://www.scopus.com/pages/publications/105031612540?origin=resultslist,,16,2,Review,Cited by: 5; All Open Access; Gold Open Access; Green Open Access,True,True,True
Völker2026,ARTICLE,The potential role of GLP-1 receptor agonists in substance use disorders – a systematic review,"Völker, K.M. and Prechtl, B.L.H. and Bormann, N.L. and Choi, D.S.",2026,Frontiers in Pharmacology,10.3389/fphar.2025.1702448,https://www.scopus.com/pages/publications/105027648949?origin=resultslist,,16,,Review,Cited by: 10; All Open Access; Gold Open Access; Green Open Access,True,True,True
Damhof20268769,ARTICLE,Early Weight Regain After GLP-1 Receptor Agonist Discontinuation: Mechanisms and Implications for Treatment De-Escalation Strategies,"Damhof, M.A. and van Bruggen, F.H. and van Roon, E.N.",2026,"Diabetes, Obesity and Metabolism",10.1111/dom.71075,https://www.scopus.com/pages/publications/105043703769?origin=resultslist,8769 - 8776,28,10,Review,Cited by: 1; All Open Access; Green Open Access; Hybrid Gold Open Access,True,True,True
